qt_137105|life|Life's most persistent and urgent question is, 'What are you doing for others?'|Martin Luther King, Jr.|.\data\images\qt_137105.jpg
qt_143085|work|Without work, all life goes rotten. But when work is soulless, life stifles and dies.|Albert Camus|None
qt_143085|work|Without work, all life goes rotten. But when work is soulless, life stifles and dies.|Albert Camus|None
qt_129818|work|Individual commitment to a group effort - that is what makes a team work, a company work, a society work, a civilization work.|Vince Lombardi|None
qt_378280|love|The best thing to hold onto in life is each other.|Audrey Hepburn|.\data\images\qt_378280.jpg
qt_384242|life|We are here to add what we can to life, not to get what we can from life.|William Osler|.\data\images\qt_384242.jpg
